Deck URL,Deck Title,Card Quantity,Card Code,id,pack_id,name,rarity,category,img_url,img_full_url,colors,cost,attributes,power,counter,types,effect,trigger
https://gumgum.gg/decklists/deck/west/op11/78130946-79c3-4654-9450-364c988a8380,OP11  Roronoa Zoro Decklist,1,OP01-001,OP01-001,569101,Roronoa Zoro,Leader,Leader,../images/cardlist/card/OP01-001.png?250530,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-001.png?250530,Red,5.0,Slash,5000.0,,"Supernovas, Straw Hat Crew",[DON!! x1] [Your Turn] All of your Characters gain +1000 power.,
https://gumgum.gg/decklists/deck/west/op11/78130946-79c3-4654-9450-364c988a8380,OP11  Roronoa Zoro Decklist,4,OP02-015,OP02-015,569102,Makino,Uncommon,Character,../images/cardlist/card/OP02-015.png?250530,https://en.onepiece-cardgame.com/images/cardlist/card/OP02-015.png?250530,Red,1.0,Wisdom,,2000.0,Windmill Village,[Activate: Main] You may rest this Character: Up to 1 of your red Characters with a cost of 1 gains +3000 power during this turn.,
https://gumgum.gg/decklists/deck/west/op11/78130946-79c3-4654-9450-364c988a8380,OP11  Roronoa Zoro Decklist,4,OP01-016,OP01-016,569101,Nami,Rare,Character,../images/cardlist/card/OP01-016.png?250530,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-016.png?250530,Red,1.0,Special,2000.0,1000.0,Straw Hat Crew,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 {Straw Hat Crew} type card other than [Nami] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",
https://gumgum.gg/decklists/deck/west/op11/78130946-79c3-4654-9450-364c988a8380,OP11  Roronoa Zoro Decklist,4,OP03-008,OP03-008,569103,Buggy,Uncommon,Character,../images/cardlist/card/OP03-008.png?250530,https://en.onepiece-cardgame.com/images/cardlist/card/OP03-008.png?250530,Red,1.0,Slash,3000.0,,Buggy Pirates,This Character cannot be K.O.'d in battle by,
https://gumgum.gg/decklists/deck/west/op11/78130946-79c3-4654-9450-364c988a8380,OP11  Roronoa Zoro Decklist,4,EB02-003,EB02-003,569202,Tony Tony.Chopper,Rare,Character,../images/cardlist/card/EB02-003.png?250530,https://en.onepiece-cardgame.com/images/cardlist/card/EB02-003.png?250530,Red,3.0,Strike,3000.0,1000.0,"Animal, Drum Kingdom, Straw Hat Crew","[DON!! x2] [Opponent's Turn] This Character gains +2000 power.<br>[On Play] If your Leader has the {Straw Hat Crew} type, give up to 1 rested DON!! card to your Leader or 1 of your Characters.",
https://gumgum.gg/decklists/deck/west/op11/78130946-79c3-4654-9450-364c988a8380,OP11  Roronoa Zoro Decklist,4,OP08-010,OP08-010,569108,Hiking Bear,Uncommon,Character,../images/cardlist/card/OP08-010.png?250530,https://en.onepiece-cardgame.com/images/cardlist/card/OP08-010.png?250530,Red,3.0,Wisdom,3000.0,2000.0,"Animal, Drum Kingdom",[DON!! x1] [Activate: Main] [Once Per Turn] Up to 1 of your {Animal} type Characters other than this Character gains +1000 power during this turn.,
https://gumgum.gg/decklists/deck/west/op11/78130946-79c3-4654-9450-364c988a8380,OP11  Roronoa Zoro Decklist,4,EB01-006,EB01-006,569201,Tony Tony.Chopper,SuperRare,Character,../images/cardlist/card/EB01-006.png?250530,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-006.png?250530,Red,3.0,Strike,4000.0,1000.0,"Animal, Straw Hat Crew","[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[DON!! x2] [When Attacking] Give up to 1 of your opponent's Characters −3000 power during this turn.",
https://gumgum.gg/decklists/deck/west/op11/78130946-79c3-4654-9450-364c988a8380,OP11  Roronoa Zoro Decklist,4,OP04-010,OP04-010,569104,Tony Tony.Chopper,Common,Character,../images/cardlist/card/OP04-010.png?250530,https://en.onepiece-cardgame.com/images/cardlist/card/OP04-010.png?250530,Red,3.0,Strike,4000.0,1000.0,"Animal, Alabasta, Straw Hat Crew",[On Play] Play up to 1 {Animal} type Character card with 3000 power or less from your hand.,
https://gumgum.gg/decklists/deck/west/op11/78130946-79c3-4654-9450-364c988a8380,OP11  Roronoa Zoro Decklist,3,OP01-025,OP01-025,569101,Roronoa Zoro,SuperRare,Character,../images/cardlist/card/OP01-025.png?250530,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-025.png?250530,Red,3.0,Slash,5000.0,,"Supernovas, Straw Hat Crew",[Rush] (This card can attack on the turn in which it is played.),
https://gumgum.gg/decklists/deck/west/op11/78130946-79c3-4654-9450-364c988a8380,OP11  Roronoa Zoro Decklist,4,OP08-007,OP08-007,569108,Tony Tony.Chopper,SuperRare,Character,../images/cardlist/card/OP08-007.png?250530,https://en.onepiece-cardgame.com/images/cardlist/card/OP08-007.png?250530,Red,3.0,Strike,5000.0,,"Animal, Drum Kingdom, Straw Hat Crew","[Your Turn] [On Play]/[When Attacking] Look at 5 cards from the top of your deck and play up to 1 {Animal} type Character card with 4000 power or less rested. Then, place the rest at the bottom of your deck in any order.",
https://gumgum.gg/decklists/deck/west/op11/78130946-79c3-4654-9450-364c988a8380,OP11  Roronoa Zoro Decklist,3,EB01-003,EB01-003,569201,Kid &amp; Killer,Rare,Character,../images/cardlist/card/EB01-003.png?250530,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-003.png?250530,Red,4.0,"Slash, Special",5000.0,,"Supernovas, Kid Pirates","[Rush] (This card can attack on the turn in which it is played.)[When Attacking] If your opponent has 2 or less Life cards, this Character gains +2000 power during this turn.",
https://gumgum.gg/decklists/deck/west/op11/78130946-79c3-4654-9450-364c988a8380,OP11  Roronoa Zoro Decklist,2,ST21-014,ST21-014,569021,Monkey.D.Luffy,SuperRare,Character,../images/cardlist/card/ST21-014.png?250530,https://en.onepiece-cardgame.com/images/cardlist/card/ST21-014.png?250530,Red,5.0,Strike,6000.0,,"The Four Emperors, Straw Hat Crew",[Rush] (This card can attack on the turn in which it is played.)<br>[When Attacking] Give up to 1 rested DON!! card to your Leader or 1 of your Characters.,
https://gumgum.gg/decklists/deck/west/op11/78130946-79c3-4654-9450-364c988a8380,OP11  Roronoa Zoro Decklist,2,OP04-016,OP04-016,569104,Bad Manners Kick Course,Rare,Event,../images/cardlist/card/OP04-016.png?250530,https://en.onepiece-cardgame.com/images/cardlist/card/OP04-016.png?250530,Red,,,,,"Alabasta, Straw Hat Crew",[Counter] You may trash 1 card from your hand: Up to 1 of your Leader or Character cards gains +3000 power during this battle.,[Trigger] Give up to 1 of your opponent's Leader or Character cards −3000 power during this turn.
https://gumgum.gg/decklists/deck/west/op11/78130946-79c3-4654-9450-364c988a8380,OP11  Roronoa Zoro Decklist,4,EB01-009,EB01-009,569201,Just Shut Up and Come with Us!!!!,Common,Event,../images/cardlist/card/EB01-009.png?250530,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-009.png?250530,Red,1.0,,,,"Drum Kingdom, Straw Hat Crew","[Counter] Look at 5 cards from the top of your deck and play up to 1 {Animal} type Character card with a cost of 3 or less. Then, place the rest at the bottom of your deck in any order.",
https://gumgum.gg/decklists/deck/west/op11/78130946-79c3-4654-9450-364c988a8380,OP11  Roronoa Zoro Decklist,1,ST01-016,ST01-016,569001,Diable Jambe,Common,Event,../images/cardlist/card/ST01-016.png?250530,https://en.onepiece-cardgame.com/images/cardlist/card/ST01-016.png?250530,Red,1.0,,,,Straw Hat Crew,[Main] Select up to 1 of your {Straw Hat Crew} type Leader or Character cards. Your opponent cannot activate [Blocker] if that Leader or Character attacks during this turn.,[Trigger] K.O. up to 1 of your opponent's [Blocker] Characters with a cost of 3 or less.
https://gumgum.gg/decklists/deck/west/op11/78130946-79c3-4654-9450-364c988a8380,OP11  Roronoa Zoro Decklist,3,OP11-018,OP11-018,569111,Honesty Impact,Rare,Event,../images/cardlist/card/OP11-018.png?250530,https://en.onepiece-cardgame.com/images/cardlist/card/OP11-018.png?250530,Red,6.0,,,,"Navy, SWORD","[Main] Give up to 1 of your opponent's Characters −4000 power during this turn. Then, K.O. up to 1 of your opponent's Characters with 6000 power or less.",[Trigger] K.O. up to 1 of your opponent's Characters with 6000 power or less.
https://gumgum.gg/decklists/deck/west/op11/764a758b-bb14-4965-81cd-7cd90e9819ec,OP11  RY Belo Betty Decklist,1,OP05-002,OP05-002,569105,Belo Betty,Leader,Leader,../images/cardlist/card/OP05-002.png?250530,https://en.onepiece-cardgame.com/images/cardlist/card/OP05-002.png?250530,"Red, Yellow",4.0,Special,5000.0,,Revolutionary Army,[Activate: Main] [Once Per Turn] You may trash 1 {Revolutionary Army} type card from your hand: Up to 3 of your {Revolutionary Army} type Characters or Characters with a [Trigger] gain +3000 power during this turn.,
https://gumgum.gg/decklists/deck/west/op11/764a758b-bb14-4965-81cd-7cd90e9819ec,OP11  RY Belo Betty Decklist,4,OP05-015,OP05-015,569105,Belo Betty,Rare,Character,../images/cardlist/card/OP05-015.png?250530,https://en.onepiece-cardgame.com/images/cardlist/card/OP05-015.png?250530,Red,1.0,Special,2000.0,1000.0,Revolutionary Army,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 {Revolutionary Army} type card other than [Belo Betty] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",
https://gumgum.gg/decklists/deck/west/op11/764a758b-bb14-4965-81cd-7cd90e9819ec,OP11  RY Belo Betty Decklist,2,OP06-016,OP06-016,569106,Raise Max,Uncommon,Character,../images/cardlist/card/OP06-016.png?250530,https://en.onepiece-cardgame.com/images/cardlist/card/OP06-016.png?250530,Red,1.0,Wisdom,2000.0,,"FILM, Revolutionary Army",[Activate: Main] You may place this Character at the bottom of the owner's deck: Give up to 1 of your opponent's Characters −3000 power during this turn.,
